"","X","column2","list","date","Year","page","URL","new_name","new_path","volume","issue"
"97",NA,NA,"sim_newsweek-us_1956-12-10_48_24",1956-12-10,1956,NA,"https://archive.org/details/sim_newsweek-us_1956-12-10_48_24/","sim_newsweek-us_1956-12-10_48_24.txt","./AI_extracted_all/sim_newsweek-us_1956-12-10_48_24.txt",48,"24"
"98",NA,NA,"sim_newsweek-us_1957-02-25_49_8",1957-02-25,1957,NA,"https://archive.org/details/sim_newsweek-us_1957-02-25_49_8/","sim_newsweek-us_1957-02-25_49_8.txt","./AI_extracted_all/sim_newsweek-us_1957-02-25_49_8.txt",49,"8"
"99",NA,NA,"sim_newsweek-us_1958-01-27_51_4",1958-01-27,1958,NA,"https://archive.org/details/sim_newsweek-us_1958-01-27_51_4/","sim_newsweek-us_1958-01-27_51_4.txt","./AI_extracted_all/sim_newsweek-us_1958-01-27_51_4.txt",51,"4"
"100",NA,NA,"sim_newsweek-us_1958-02-17_51_7",1958-02-17,1958,NA,"https://archive.org/details/sim_newsweek-us_1958-02-17_51_7/","sim_newsweek-us_1958-02-17_51_7.txt","./AI_extracted_all/sim_newsweek-us_1958-02-17_51_7.txt",51,"7"
"101",NA,NA,"sim_newsweek-us_1958-03-24_51_12",1958-03-24,1958,NA,"https://archive.org/details/sim_newsweek-us_1958-03-24_51_12/","sim_newsweek-us_1958-03-24_51_12.txt","./AI_extracted_all/sim_newsweek-us_1958-03-24_51_12.txt",51,"12"
"102",NA,NA,"sim_newsweek-us_1958-04-07_51_14",1958-04-07,1958,NA,"https://archive.org/details/sim_newsweek-us_1958-04-07_51_14/","sim_newsweek-us_1958-04-07_51_14.txt","./AI_extracted_all/sim_newsweek-us_1958-04-07_51_14.txt",51,"14"
"103",NA,NA,"sim_newsweek-us_1958-05-12_51_19",1958-05-12,1958,NA,"https://archive.org/details/sim_newsweek-us_1958-05-12_51_19/","sim_newsweek-us_1958-05-12_51_19.txt","./AI_extracted_all/sim_newsweek-us_1958-05-12_51_19.txt",51,"19"
"104",NA,NA,"sim_newsweek-us_1958-06-16_51_24",1958-06-16,1958,NA,"https://archive.org/details/sim_newsweek-us_1958-06-16_51_24/","sim_newsweek-us_1958-06-16_51_24.txt","./AI_extracted_all/sim_newsweek-us_1958-06-16_51_24.txt",51,"24"
"105",NA,NA,"sim_newsweek-us_1958-07-21_52_3",1958-07-21,1958,NA,"https://archive.org/details/sim_newsweek-us_1958-07-21_52_3/","sim_newsweek-us_1958-07-21_52_3.txt","./AI_extracted_all/sim_newsweek-us_1958-07-21_52_3.txt",52,"3"
"106",NA,NA,"sim_newsweek-us_1958-08-25_52_8",1958-08-25,1958,NA,"https://archive.org/details/sim_newsweek-us_1958-08-25_52_8/","sim_newsweek-us_1958-08-25_52_8.txt","./AI_extracted_all/sim_newsweek-us_1958-08-25_52_8.txt",52,"8"
"107",NA,NA,"sim_newsweek-us_1958-09-22_52_12",1958-09-22,1958,NA,"https://archive.org/details/sim_newsweek-us_1958-09-22_52_12/","sim_newsweek-us_1958-09-22_52_12.txt","./AI_extracted_all/sim_newsweek-us_1958-09-22_52_12.txt",52,"12"
"108",NA,NA,"sim_newsweek-us_1958-10-13_52_15",1958-10-13,1958,NA,"https://archive.org/details/sim_newsweek-us_1958-10-13_52_15/","sim_newsweek-us_1958-10-13_52_15.txt","./AI_extracted_all/sim_newsweek-us_1958-10-13_52_15.txt",52,"15"
"109",NA,NA,"sim_newsweek-us_1958-11-17_52_20",1958-11-17,1958,NA,"https://archive.org/details/sim_newsweek-us_1958-11-17_52_20/","sim_newsweek-us_1958-11-17_52_20.txt","./AI_extracted_all/sim_newsweek-us_1958-11-17_52_20.txt",52,"20"
"110",NA,NA,"sim_newsweek-us_1958-12-08_52_23",1958-12-08,1958,NA,"https://archive.org/details/sim_newsweek-us_1958-12-08_52_23/","sim_newsweek-us_1958-12-08_52_23.txt","./AI_extracted_all/sim_newsweek-us_1958-12-08_52_23.txt",52,"23"
