"","headline","article_nmbr","text","linenumber"
"204","Title: CHINA; Geithner to talk trade, Treasuries in Beijing",6,"Full text: When Treasury Secretary Timothy F. Geithner arrives Sunday in Beijing, he will have to begin assuring the Chinese that their vast holdings in federal bonds are safe and that the Obama administration is doing everything it can to preserve the value of the American dollar.",204
"205","Title: CHINA; Geithner to talk trade, Treasuries in Beijing",6,"But Geithner, the former Peking University student who is now entrusted with laying the groundwork for arguably the world's most important economic relationship, will also use the three-day trip to pitch Beijing on long-term economic reforms that will reduce the trade imbalance between the two nations and wean the U.S. off easy Chinese loans.",205
"206","Title: CHINA; Geithner to talk trade, Treasuries in Beijing",6,"In meetings with President Hu Jintao and Premier Wen Jiabao, Geithner will encourage the Chinese to rely less on exports and to develop a broad-based domestic consumer market, said a senior Treasury official who briefed reporters on the visit's goals.",206
"207","Title: CHINA; Geithner to talk trade, Treasuries in Beijing",6,"""One of the objectives of the trip . . . is the importance of laying the foundations for balanced, sustained growth in the future,"" the official said. ""For China this involves stronger domestic demand growth. It involves shifting the structure of the Chinese economy to [spur] domestic demand.""",207
"208","Title: CHINA; Geithner to talk trade, Treasuries in Beijing",6,"One reason for the approach: The trade deficit between the United States and China -- which reached $288 billion last year -- has long been a political flash point. Beijing has been accused of artificially devaluing its currency, the yuan, to make exports more affordable at the expense of American manufacturers.",208
"209","Title: CHINA; Geithner to talk trade, Treasuries in Beijing",6,"Geithner alluded to the practice during his Senate confirmation hearing in January by saying President Obama ""believes China is manipulating its currency.""",209
"210","Title: CHINA; Geithner to talk trade, Treasuries in Beijing",6,"The remark was later described as a mistake and the administration has since stayed away from highlighting the issue of currency manipulation, which has become a surefire way to raise tensions with America's largest creditor. China holds more than $1 trillion of U.S. Treasury bonds and other government securities.",210
"211","Title: CHINA; Geithner to talk trade, Treasuries in Beijing",6,"Though Geithner got off to a rocky start in the eyes of the Chinese, it is unlikely to hinder progress, said Andy Rothman, an economist at brokerage and investment group CLSA Asia-Pacific Markets.",211
"212","Title: CHINA; Geithner to talk trade, Treasuries in Beijing",6,"""He's going to be well-received in China,"" Rothman said. ""It's unusual for Hu and Wen to meet a Cabinet officer. Obviously the relationship is that important.""",212
"213","Title: CHINA; Geithner to talk trade, Treasuries in Beijing",6,"The U.S. needs China to continue buying federal securities until it can crawl out of the recession. And China, which owned $768 billion in Treasuries as of March, cannot afford to see the dollar devalue.",213
"214","Title: CHINA; Geithner to talk trade, Treasuries in Beijing",6,"This has not prevented Chinese officials from making their discomfort known -- some say to appease a domestic audience that thinks lending billions of dollars to the U.S. over the years has diverted money that could have bolstered China's social development and standard of living.",214
"215","Title: CHINA; Geithner to talk trade, Treasuries in Beijing",6,"In a meeting with reporters in March, Wen said, ""To be honest, we are a little bit worried. We have loaned huge amounts of money to the United States, so of course, we have to be concerned. We hope the United States honors its word and ensures the safety of Chinese assets.""",215
"216","Title: CHINA; Geithner to talk trade, Treasuries in Beijing",6,"Ten days later, the head of China's central bank, Zhou Xiaochuan, floated the idea of creating an alternative to the U.S. dollar as the world's reserve currency.",216
"217","Title: CHINA; Geithner to talk trade, Treasuries in Beijing",6,"The Obama administration, by comparison, has stressed cooperation over confrontation. A visit by House Speaker Nancy Pelosi (D-San Francisco) this week did not produce headlines on human rights, a subject the Chinese have been loath to address.",217
"218","Title: CHINA; Geithner to talk trade, Treasuries in Beijing",6,"Pelosi, who traveled to Beijing with a bipartisan congressional delegation, and Sen. John Kerry (D-Mass.), who was also in China this week, instead were focused on reducing greenhouse gas emissions. Geithner is expected to continue that tone.",218
"219","Title: CHINA; Geithner to talk trade, Treasuries in Beijing",6,"""Geithner will want to encourage China to keep buying"" Treasuries, said Shi Yinhong, professor of international relations at People's Universty in Beijing. ""The Chinese leadership will want to know that U.S. policies are protecting their financial assets.""",219
"220","Title: CHINA; Geithner to talk trade, Treasuries in Beijing",6,"Persuading China to take fundamental steps to increase its domestic consumption is crucial for the U.S. and world economies, said Frank Vargo, vice president for international economic affairs at the National Assn. of Manufacturers in Washington.",220
"221","Title: CHINA; Geithner to talk trade, Treasuries in Beijing",6,"The Bush administration tried unsuccessfully to get China to make changes to shift its production away from export products, such as flat-panel TVs, and to improve the social safety net and access to credit so that Chinese citizens wouldn't feel compelled to save at such a high rate, Vargo said. But the Obama administration should have an easier time making the case after China's exports have dropped with the global economic downturn.",221
"222","Title: CHINA; Geithner to talk trade, Treasuries in Beijing",6,"""They can leverage the current global financial crisis because I think China is frightened by it,"" Vargo said. ""It really demonstrates to them in a very stark way that they cannot be so dependent on foreign markets over which they have no control.""",222
"223","Title: CHINA; Geithner to talk trade, Treasuries in Beijing",6,"If China funnels more of its economic output into its own economy, it would boost manufacturing in the United States because Chinese consumers would begin importing U.S. goods, Vargo said.",223
"224","Title: CHINA; Geithner to talk trade, Treasuries in Beijing",6,"To be sure, China's leadership has acknowledged the importance of fostering a domestic market to lessen its reliance on exports. But the task has been made difficult by the global crisis.",224
"225","Title: CHINA; Geithner to talk trade, Treasuries in Beijing",6,"Beijing worries that rising unemployment may destabilize the country. Lawmakers are offering tax breaks to producers and subsidies to Chinese consumers to buy appliances and cars. Whether the policy can sustain employment or merely delays bankruptcies is yet to be seen.",225
"226","Title: CHINA; Geithner to talk trade, Treasuries in Beijing",6,"""China will need domestic consumption growth more than ever, and this . . . cannot be the best time for China to try to revive the production-enhancing model in a way that may limit future domestic consumption growth,"" wrote Michael Pettis, a Peking University professor of finance, on his blog called China Financial Markets.",226
"227","Title: CHINA; Geithner to talk trade, Treasuries in Beijing",6,"Geithner on Monday will deliver a speech at Peking University, where he once studied Chinese. It is unclear whether he still speaks the language. But a Treasury official said he will meet with students and former professors at the school.",227
"228","Title: CHINA; Geithner to talk trade, Treasuries in Beijing",6,"On Tuesday, he'll head to the Beijing Capital Museum for an exhibit on solar panels before meeting with Wen and Hu.",228
"229","Title: CHINA; Geithner to talk trade, Treasuries in Beijing",6,"--",229
"230","Title: CHINA; Geithner to talk trade, Treasuries in Beijing",6,"david.pierson@latimes.com",230
"231","Title: CHINA; Geithner to talk trade, Treasuries in Beijing",6,"jim.puzzanghera@latimes.com",231
"232","Title: CHINA; Geithner to talk trade, Treasuries in Beijing",6,"Nicole Liu in The Times' Beijing Bureau contributed to this report.",232
"233","Title: CHINA; Geithner to talk trade, Treasuries in Beijing",6,"Illustration Caption: PHOTO: TIMOTHY F. GEITHNER His trip begins Sunday.; PHOTOGRAPHER:Charles Krupa Associated Press",233
"234","Title: CHINA; Geithner to talk trade, Treasuries in Beijing",6,"People: Geithner, Timothy",234
"235","Title: CHINA; Geithner to talk trade, Treasuries in Beijing",6,"Title: CHINA; Geithner to talk trade, Treasuries in Beijing",235
"236","Title: CHINA; Geithner to talk trade, Treasuries in Beijing",6,"Pages: B.1",236
"237","Title: CHINA; Geithner to talk trade, Treasuries in Beijing",6,"Publication date: May 30, 2009",237
"238","Title: CHINA; Geithner to talk trade, Treasuries in Beijing",6,"Publication subject: General Interest Periodicals--United States",238
"239","Title: CHINA; Geithner to talk trade, Treasuries in Beijing",6,"ISSN: 04583035",239
"240","Title: CHINA; Geithner to talk trade, Treasuries in Beijing",6,"Language of publication: English",240
"241","Title: CHINA; Geithner to talk trade, Treasuries in Beijing",6,"ProQuest document ID: 422255592",241
"242","Title: CHINA; Geithner to talk trade, Treasuries in Beijing",6,"Document URL: https://search.proquest.com/docview/422255592?accountid=41449",242
"243","Title: CHINA; Geithner to talk trade, Treasuries in Beijing",6,"Copyright: (Copyright (c) 2009 Los Angeles Times)",243
"244","Title: CHINA; Geithner to talk trade, Treasuries in Beijing",6,"Last updated: 2017-11-14",244
"245","Title: CHINA; Geithner to talk trade, Treasuries in Beijing",6,"Database: ProQuest Central",245
"246","Title: INVESTING; CHINA ON U.S. BUYING SPREE; From Coca-Cola to a Branson theater, Asian giant invests in American assets.",7,"STARTOFARTICLE",246
"247","Title: INVESTING; CHINA ON U.S. BUYING SPREE; From Coca-Cola to a Branson theater, Asian giant invests in American assets.",7,"INVESTING; CHINA ON U.S. BUYING SPREE; From Coca-Cola to a Branson theater, Asian giant invests in American assets.",247
"248","Title: INVESTING; CHINA ON U.S. BUYING SPREE; From Coca-Cola to a Branson theater, Asian giant invests in American assets.",7,"Publication info: Los Angeles Times ; Los Angeles, Calif. [Los Angeles, Calif]04 Mar 2010: B.1.",248
"249","Title: INVESTING; CHINA ON U.S. BUYING SPREE; From Coca-Cola to a Branson theater, Asian giant invests in American assets.",7,"https://search.proquest.com/docview/422316484?accountid=41449",249
"250","Title: INVESTING; CHINA ON U.S. BUYING SPREE; From Coca-Cola to a Branson theater, Asian giant invests in American assets.",7,"Abstract: Chinese investors retreated from the U.S. market for much of the rest of 2005 and 2006, focusing instead on securing oil and natural resources in Africa, Australia and elsewhere. [...] Chinese investors have increasingly sought service companies.",250
"251","Title: INVESTING; CHINA ON U.S. BUYING SPREE; From Coca-Cola to a Branson theater, Asian giant invests in American assets.",7,"Full text: Made in China now has a fast-growing sibling: Bought by China.",251
"252","Title: INVESTING; CHINA ON U.S. BUYING SPREE; From Coca-Cola to a Branson theater, Asian giant invests in American assets.",7,"Beijing is using its accumulation of billions of American dollars to step up its investments around the globe. In the last year, Chinese acquisitions in the U.S. have ranged from a relatively obscure theater in Branson, Mo., to stakes in such famous brands as Coca-Cola and Johnson & Johnson.",252
"253","Title: INVESTING; CHINA ON U.S. BUYING SPREE; From Coca-Cola to a Branson theater, Asian giant invests in American assets.",7,"China's huge stockpile of dollars stems in part from Americans' enormous purchases of relatively inexpensive Chinese manufactured goods and the significantly smaller volume of U.S. exports to the Asian country.",253
"254","Title: INVESTING; CHINA ON U.S. BUYING SPREE; From Coca-Cola to a Branson theater, Asian giant invests in American assets.",7,"By recycling much of its dollar trove over the years back to the United States with the purchase of U.S. government debt, China has in effect helped Washington finance its deficits.",254
"255","Title: INVESTING; CHINA ON U.S. BUYING SPREE; From Coca-Cola to a Branson theater, Asian giant invests in American assets.",7,"Now, Beijing is branching out. The country's direct investments overseas rose 6.5% in 2009 to $43.3 billion -- despite a global slump in such investments -- and could jump to $60 billion this year, Chinese state media reported last week.",255
"256","Title: INVESTING; CHINA ON U.S. BUYING SPREE; From Coca-Cola to a Branson theater, Asian giant invests in American assets.",7,"Formal estimates of Chinese investments in the U.S. last year, excluding bond purchases, range from $3.9 billion -- a figure put out by New York research firm Dealogic -- to $6.4 billion, a number that comes from Derek Scissors, a Heritage Foundation research fellow who tracks China's global transactions.",256
"257","Title: INVESTING; CHINA ON U.S. BUYING SPREE; From Coca-Cola to a Branson theater, Asian giant invests in American assets.",7,"The real number could be even higher, Scissors says. In any case, the total is up sharply from several years ago, when Chinese investments hardly registered a blip on U.S. financial radar screens.",257
"258","Title: INVESTING; CHINA ON U.S. BUYING SPREE; From Coca-Cola to a Branson theater, Asian giant invests in American assets.",7,"One goal of the increased investment in the U.S., led by the government's vast sovereign wealth fund, is to buy assets while prices are depressed.",258
"259","Title: INVESTING; CHINA ON U.S. BUYING SPREE; From Coca-Cola to a Branson theater, Asian giant invests in American assets.",7,"The strategy also seeks higher earnings from Beijing's pile of assets denominated in foreign currencies, which is estimated at $2.5 trillion and mostly held in low-interest U.S. government securities and other low-risk, dollar-denominated investments. Chinese officials worry that a weakening dollar will erode the value of these holdings.",259
"260","Title: INVESTING; CHINA ON U.S. BUYING SPREE; From Coca-Cola to a Branson theater, Asian giant invests in American assets.",7,"A sign that Beijing is acting on that concern came last week when the U.S. government reported that Chinese holdings of Treasury securities slid to $894.8 billion in December, down 3.7% from November and the lowest level since May.",260
"261","Title: INVESTING; CHINA ON U.S. BUYING SPREE; From Coca-Cola to a Branson theater, Asian giant invests in American assets.",7,"Even at their increased level, Chinese investments last year in U.S. companies and property used up only a speck of Beijing's foreign reserves -- and, according to Dealogic, accounted for just 3% of total foreign investments made in the U.S. last year.",261
"262","Title: INVESTING; CHINA ON U.S. BUYING SPREE; From Coca-Cola to a Branson theater, Asian giant invests in American assets.",7,"Although the injections of cash from overseas are welcomed by many U.S. companies and communities, the step-up in Chinese purchases comes against a backdrop of rising tensions between Washington and Beijing. Relations have been strained as the two superpowers have traded tough words over China's currency policy, U.S. arms sales to Taiwan and President Obama's meeting last month with the Dalai Lama, not to mention disputes over global climate policy and Google's bid to challenge government censorship.",262
"263","Title: INVESTING; CHINA ON U.S. BUYING SPREE; From Coca-Cola to a Branson theater, Asian giant invests in American assets.",7,"""Now that we're getting a protectionist push [in the U.S.], you're going to see hostility toward Chinese investments,"" Scissors said.",263
"264","Title: INVESTING; CHINA ON U.S. BUYING SPREE; From Coca-Cola to a Branson theater, Asian giant invests in American assets.",7,"Chinese government officials have visited Scissors' office in Washington, he said, to gauge the potential ""storm of protectionism coming out of Congress"" before the midterm elections in November.",264
"265","Title: INVESTING; CHINA ON U.S. BUYING SPREE; From Coca-Cola to a Branson theater, Asian giant invests in American assets.",7,"U.S. lawmakers agree that political heat will increase on China to loosen its grip on the value of its currency and open its markets.",265
"266","Title: INVESTING; CHINA ON U.S. BUYING SPREE; From Coca-Cola to a Branson theater, Asian giant invests in American assets.",7,"""Absolutely, China's going to have to give and make more movement,"" said Rep. Adam Smith (D-Wash.).",266
"267","Title: INVESTING; CHINA ON U.S. BUYING SPREE; From Coca-Cola to a Branson theater, Asian giant invests in American assets.",7,"Beijing hasn't forgotten what happened in the summer of 2005 when state-controlled oil company CNOOC Ltd. dropped its bid to buy El Segundo-based Unocal Corp. after intense opposition from lawmakers who cited concerns about U.S. energy and economic security.",267
"268","Title: INVESTING; CHINA ON U.S. BUYING SPREE; From Coca-Cola to a Branson theater, Asian giant invests in American assets.",7,"Chinese investors retreated from the U.S. market for much of the rest of 2005 and 2006, focusing instead on securing oil and natural resources in Africa, Australia and elsewhere.",268
"269","Title: INVESTING; CHINA ON U.S. BUYING SPREE; From Coca-Cola to a Branson theater, Asian giant invests in American assets.",7,"Since then, Chinese investors have increasingly sought service companies. The largest Chinese investments in the U.S. have come from state-owned firms, primarily a $300-billion fund known as China Investment Corp. It initially targeted well-known financial companies, spending billions to buy stakes in private equity giant Blackstone Group and investment bank Morgan Stanley.",269
"270","Title: INVESTING; CHINA ON U.S. BUYING SPREE; From Coca-Cola to a Branson theater, Asian giant invests in American assets.",7,"But after getting burned by the financial crisis that emerged in 2008, the sovereign wealth fund has been shifting to real estate.",270
"271","Title: INVESTING; CHINA ON U.S. BUYING SPREE; From Coca-Cola to a Branson theater, Asian giant invests in American assets.",7,"Its investments in the last year have included hundreds of millions of dollars in real estate-related funds managed by Oaktree Capital of Los Angeles, Goldman Sachs Group Inc. and BlackRock Inc.",271
"272","Title: INVESTING; CHINA ON U.S. BUYING SPREE; From Coca-Cola to a Branson theater, Asian giant invests in American assets.",7,"The move into real estate appeared to be motivated by bargain prices. ""In the past year, the U.S. real estate market seemed to have hit bottom and signs of recovery were obvious,"" said Mei Xinyu, a researcher at the Ministry of Commerce in Beijing.",272
"273","Title: INVESTING; CHINA ON U.S. BUYING SPREE; From Coca-Cola to a Branson theater, Asian giant invests in American assets.",7,"China's growing investments should be viewed not as an effort to exert influence in the U.S., Mei said, but rather as an attempt to do some American-style business. ""There's a saying in America, 'Business is business,' "" he said. ""People should not politicize business activities.""",273
"274","Title: INVESTING; CHINA ON U.S. BUYING SPREE; From Coca-Cola to a Branson theater, Asian giant invests in American assets.",7,"In a filing last month with the Securities and Exchange Commission, China Investment said its stakes in U.S. companies included stock in Apple and Visa, among other global brands. Its biggest announced transaction in the U.S. in the last year was buying a 15.8% stake in power company AES Corp. for $1.6 billion.",274
"275","Title: INVESTING; CHINA ON U.S. BUYING SPREE; From Coca-Cola to a Branson theater, Asian giant invests in American assets.",7,"Other Chinese enterprises have invested in such companies as Honolulu-based alternative-energy technology company Hoku Scientific Inc., auto-parts supplier Delphi Corp.'s automotive-brake business and Solix Biofuels, a Colorado firm working on a way to turn algae into energy, according to Dealogic.",275
"276","Title: INVESTING; CHINA ON U.S. BUYING SPREE; From Coca-Cola to a Branson theater, Asian giant invests in American assets.",7,"Chinese officials are mindful of the backlash that Japanese investors endured two decades ago when they bought, at the height of Japan's real estate boom and ascendance in the global economy, landmark properties in the U.S., including Rockefeller Center in 1989 and Pebble Beach Golf Course in 1990.",276
"277","Title: INVESTING; CHINA ON U.S. BUYING SPREE; From Coca-Cola to a Branson theater, Asian giant invests in American assets.",7,"Private Chinese investors have begun to get into the action but, according to analysts, have generally been involved in small transactions, buying houses for their families and investing in factories and other facilities to be closer to the North American market.",277
"278","Title: INVESTING; CHINA ON U.S. BUYING SPREE; From Coca-Cola to a Branson theater, Asian giant invests in American assets.",7,"Chinese real estate acquisitions to date have hardly been trophy properties. In December, a Beijing-based performing arts company took ownership of the White House Theatre -- built to look like it belongs on Pennsylvania Avenue in Washington instead of in Branson, a popular tourist destination in the Ozarks. The China Heaven Creation International Performing Arts Co. paid $3.5 million in cash for the property, said Pam Critchfield, a marketing consultant for the theater.",278
"279","Title: INVESTING; CHINA ON U.S. BUYING SPREE; From Coca-Cola to a Branson theater, Asian giant invests in American assets.",7,"In a deal announced in December, Shanghai Jin Jiang International Hotels -- part of a big state-owned company that owns hotels and travel operations in China -- formed a 50-50 joint venture with Thayer Lodging Group of Annapolis, Md., to buy Interstate Hotels & Resorts. Interstate, based in Arlington, Va., manages 232 properties in the United States and elsewhere. Interstate valued the transaction at $307 million.",279
"280","Title: INVESTING; CHINA ON U.S. BUYING SPREE; From Coca-Cola to a Branson theater, Asian giant invests in American assets.",7,"Chinese companies have learned that allying with partners tends to draw less attention, said Wenran Jiang, a China expert at the University of Alberta who has studied Chinese investments around the globe.",280
"281","Title: INVESTING; CHINA ON U.S. BUYING SPREE; From Coca-Cola to a Branson theater, Asian giant invests in American assets.",7,"When multiple parties are involved in a deal, he said, the Chinese buyer's stake gets diluted. ""So you can't report that the Chinese are taking over.""",281
"282","Title: INVESTING; CHINA ON U.S. BUYING SPREE; From Coca-Cola to a Branson theater, Asian giant invests in American assets.",7,"--",282
"283","Title: INVESTING; CHINA ON U.S. BUYING SPREE; From Coca-Cola to a Branson theater, Asian giant invests in American assets.",7,"don.lee@latimes.com",283
"284","Title: INVESTING; CHINA ON U.S. BUYING SPREE; From Coca-Cola to a Branson theater, Asian giant invests in American assets.",7,"Clement Tan in Washington and Tommy Yang in Beijing contributed to this report.",284
"285","Title: INVESTING; CHINA ON U.S. BUYING SPREE; From Coca-Cola to a Branson theater, Asian giant invests in American assets.",7,"Illustration Caption: PHOTO: TRANSACTION: State-owned China Investment Corp. last year bought a 15.8% stake in AES Corp., which operates an electric power plant in Huntington Beach.; PHOTOGRAPHER:Robert Lachman Los Angeles Times",285
"286","Title: INVESTING; CHINA ON U.S. BUYING SPREE; From Coca-Cola to a Branson theater, Asian giant invests in American assets.",7,"Title: INVESTING; CHINA ON U.S. BUYING SPREE; From Coca-Cola to a Branson theater, Asian giant invests in American assets.",286
"287","Title: INVESTING; CHINA ON U.S. BUYING SPREE; From Coca-Cola to a Branson theater, Asian giant invests in American assets.",7,"Pages: B.1",287
"288","Title: INVESTING; CHINA ON U.S. BUYING SPREE; From Coca-Cola to a Branson theater, Asian giant invests in American assets.",7,"Publication date: Mar 4, 2010",288
"289","Title: INVESTING; CHINA ON U.S. BUYING SPREE; From Coca-Cola to a Branson theater, Asian giant invests in American assets.",7,"Publication subject: General Interest Periodicals--United States",289
"290","Title: INVESTING; CHINA ON U.S. BUYING SPREE; From Coca-Cola to a Branson theater, Asian giant invests in American assets.",7,"ISSN: 04583035",290
"291","Title: INVESTING; CHINA ON U.S. BUYING SPREE; From Coca-Cola to a Branson theater, Asian giant invests in American assets.",7,"Language of publication: English",291
"292","Title: INVESTING; CHINA ON U.S. BUYING SPREE; From Coca-Cola to a Branson theater, Asian giant invests in American assets.",7,"ProQuest document ID: 422316484",292
"293","Title: INVESTING; CHINA ON U.S. BUYING SPREE; From Coca-Cola to a Branson theater, Asian giant invests in American assets.",7,"Document URL: https://search.proquest.com/docview/422316484?accountid=41449",293
"294","Title: INVESTING; CHINA ON U.S. BUYING SPREE; From Coca-Cola to a Branson theater, Asian giant invests in American assets.",7,"Copyright: (Copyright (c) 2010 Los Angeles Times)",294
"295","Title: INVESTING; CHINA ON U.S. BUYING SPREE; From Coca-Cola to a Branson theater, Asian giant invests in American assets.",7,"Last updated: 2017-11-14",295
"296","Title: INVESTING; CHINA ON U.S. BUYING SPREE; From Coca-Cola to a Branson theater, Asian giant invests in American assets.",7,"Database: ProQuest Central",296
"297","Title: GLOBAL ECONOMY; Local firm to build RVs for China; The deal with MVP in Riverside is expected to bring 1,200 jobs to the Inland Empire.",8,"STARTOFARTICLE",297
"298","Title: GLOBAL ECONOMY; Local firm to build RVs for China; The deal with MVP in Riverside is expected to bring 1,200 jobs to the Inland Empire.",8,"GLOBAL ECONOMY; Local firm to build RVs for China; The deal with MVP in Riverside is expected to bring 1,200 jobs to the Inland Empire.",298
"299","Title: GLOBAL ECONOMY; Local firm to build RVs for China; The deal with MVP in Riverside is expected to bring 1,200 jobs to the Inland Empire.",8,"Publication info: Los Angeles Times ; Los Angeles, Calif. [Los Angeles, Calif]21 Jan 2011: B.1.",299
"300","Title: GLOBAL ECONOMY; Local firm to build RVs for China; The deal with MVP in Riverside is expected to bring 1,200 jobs to the Inland Empire.",8,"https://search.proquest.com/docview/845739846?accountid=41449",300
"301","Title: GLOBAL ECONOMY; Local firm to build RVs for China; The deal with MVP in Riverside is expected to bring 1,200 jobs to the Inland Empire.",8,"Abstract: Riverside motor home maker MVP RV Inc. is planning to build and export 30,000 vehicles to China under an agreement with a Chinese entrepreneur that is expected to add 1,200 new jobs to the Inland Empire, an area hit hard by the recession.",301
"302","Title: GLOBAL ECONOMY; Local firm to build RVs for China; The deal with MVP in Riverside is expected to bring 1,200 jobs to the Inland Empire.",8,"Full text: Riverside motor home maker MVP RV Inc. is planning to build and export 30,000 vehicles to China under an agreement with a Chinese entrepreneur that is expected to add 1,200 new jobs to the Inland Empire, an area hit hard by the recession.",302
"303","Title: GLOBAL ECONOMY; Local firm to build RVs for China; The deal with MVP in Riverside is expected to bring 1,200 jobs to the Inland Empire.",8,"Under the deal with the businessman, Winston Chung, who last year became the RV firm's majority owner, the company will build $5 billion worth of the diesel-powered vehicles. The agreement was highlighted at the White House as part of Chinese President Hu Jintao's state visit this week.",303
"304","Title: GLOBAL ECONOMY; Local firm to build RVs for China; The deal with MVP in Riverside is expected to bring 1,200 jobs to the Inland Empire.",8,"MVP RV hopes to begin soon manufacturing the 10,000 tour-bus style and 20,000 smaller recreational vehicles. They would be exported over the next three to four years.",304
"305","Title: GLOBAL ECONOMY; Local firm to build RVs for China; The deal with MVP in Riverside is expected to bring 1,200 jobs to the Inland Empire.",8,"China is an ""untapped market"" for motor homes, said Scott Degnan, vice president of sales and marketing for MVP RV. The company has 150 employees and expects to hire about 1,200 new workers, primarily in blue-collar, production line jobs, he said.",305
"306","Title: GLOBAL ECONOMY; Local firm to build RVs for China; The deal with MVP in Riverside is expected to bring 1,200 jobs to the Inland Empire.",8,"The new jobs come at a crucial time for the region, said economist John Husing, an expert on the Inland Empire economy. ""Having a major employer coming into the manufacturing base out here is huge,"" he said.",306
"307","Title: GLOBAL ECONOMY; Local firm to build RVs for China; The deal with MVP in Riverside is expected to bring 1,200 jobs to the Inland Empire.",8,"In November, unemployment in the Inland Empire was at 14.3%. ""This is a big deal,"" Husing said.",307
"308","Title: GLOBAL ECONOMY; Local firm to build RVs for China; The deal with MVP in Riverside is expected to bring 1,200 jobs to the Inland Empire.",8,"Officials at the National Recreation Vehicle Industry Assn. in Reston, Va., welcomed the announcement.",308
"309","Title: GLOBAL ECONOMY; Local firm to build RVs for China; The deal with MVP in Riverside is expected to bring 1,200 jobs to the Inland Empire.",8,"China is an ""infant market ... with tremendous potential,"" senior director Bill Baker said. ""You have Chinese consumers with more disposable income and more leisure time taking an interest in RVs.""",309
"310","Title: GLOBAL ECONOMY; Local firm to build RVs for China; The deal with MVP in Riverside is expected to bring 1,200 jobs to the Inland Empire.",8,"The deal will provide a boost for the RV industry, which was hit hard in recent years by spikes in gasoline prices and the recession. Recently the industry has been looking up, Baker said. As of November, manufacturers shipped 50% more vehicles to dealers than the year before, illustrating rising sales, he said.",310
"311","Title: GLOBAL ECONOMY; Local firm to build RVs for China; The deal with MVP in Riverside is expected to bring 1,200 jobs to the Inland Empire.",8,"China's infrastructure is improving and more campgrounds are being built, said Degnan of MVP RV. Large motor homes are still a rarity in China. But the smaller vehicles, which he described as ""glorified vans,"" are popular.",311
"312","Title: GLOBAL ECONOMY; Local firm to build RVs for China; The deal with MVP in Riverside is expected to bring 1,200 jobs to the Inland Empire.",8,"MVP RV is headquartered at factories vacated by another motor home maker, Fleetwood Enterprises, which filed for bankruptcy protection and left the area in 2009.",312
"313","Title: GLOBAL ECONOMY; Local firm to build RVs for China; The deal with MVP in Riverside is expected to bring 1,200 jobs to the Inland Empire.",8,"Formed in 2008, MVP RV began producing primarily travel trailers, but stopped production four months later when stifled by the recession. The company was exploring the idea of building electric cars when the owners were introduced to Chinese entrepreneur Chung, now the firm's majority owner.",313
"314","Title: GLOBAL ECONOMY; Local firm to build RVs for China; The deal with MVP in Riverside is expected to bring 1,200 jobs to the Inland Empire.",8,"Chung paid $18.6 million in July for the Riverside factories and headquarters. As part of the agreement announced this week, he will provide $310 million in financing to build the motor homes.",314
"315","Title: GLOBAL ECONOMY; Local firm to build RVs for China; The deal with MVP in Riverside is expected to bring 1,200 jobs to the Inland Empire.",8,"Chung will also finance further development of an electric motor home by the company, using ""lithium rare-earth batteries,"" Degnan said. The company created a prototype of the electric vehicle and shipped it to China, where Chung has displayed it at electric vehicle trade shows.",315
"316","Title: GLOBAL ECONOMY; Local firm to build RVs for China; The deal with MVP in Riverside is expected to bring 1,200 jobs to the Inland Empire.",8,"The deal was one of about 70 between the U.S. and China announced during Hu's state visit, in what was called a demonstration of cooperation between the two countries.",316
"317","Title: GLOBAL ECONOMY; Local firm to build RVs for China; The deal with MVP in Riverside is expected to bring 1,200 jobs to the Inland Empire.",8,"stephen.ceasar@latimes.com",317
"318","Title: GLOBAL ECONOMY; Local firm to build RVs for China; The deal with MVP in Riverside is expected to bring 1,200 jobs to the Inland Empire.",8,"Classification: 9190: United States; 8680: Transportation equipment industry",318
"319","Title: GLOBAL ECONOMY; Local firm to build RVs for China; The deal with MVP in Riverside is expected to bring 1,200 jobs to the Inland Empire.",8,"Title: GLOBAL ECONOMY; Local firm to build RVs for China; The deal with MVP in Riverside is expected to bring 1,200 jobs to the Inland Empire.",319
"320","Title: GLOBAL ECONOMY; Local firm to build RVs for China; The deal with MVP in Riverside is expected to bring 1,200 jobs to the Inland Empire.",8,"Pages: B.1",320
"321","Title: GLOBAL ECONOMY; Local firm to build RVs for China; The deal with MVP in Riverside is expected to bring 1,200 jobs to the Inland Empire.",8,"Publication date: Jan 21, 2011",321
"322","Title: GLOBAL ECONOMY; Local firm to build RVs for China; The deal with MVP in Riverside is expected to bring 1,200 jobs to the Inland Empire.",8,"Publication subject: General Interest Periodicals--United States",322
"323","Title: GLOBAL ECONOMY; Local firm to build RVs for China; The deal with MVP in Riverside is expected to bring 1,200 jobs to the Inland Empire.",8,"ISSN: 04583035",323
"324","Title: GLOBAL ECONOMY; Local firm to build RVs for China; The deal with MVP in Riverside is expected to bring 1,200 jobs to the Inland Empire.",8,"Language of publication: English",324
"325","Title: GLOBAL ECONOMY; Local firm to build RVs for China; The deal with MVP in Riverside is expected to bring 1,200 jobs to the Inland Empire.",8,"ProQuest document ID: 845739846",325
